status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
... < 0 DM,45.0,existing credits paid back duly till now,car (used),7526.0,A61,... < 1 year,4.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",39.0,none,own,1.0,skilled employee / official,2.0,"yes, registered under the customers name",no,0.337
0 <= ... < 200 DM,4.0,critical account/ other credits existing (not at this bank),retraining,276.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,for free,2.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.804
no checking account,4.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,.. >= 7 years,1.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,45.0,none,rent,4.0,unskilled - resident,1.0,none,yes,0.824
... >= 200 DM / salary assignments for at least 1 year,13.0,delay in paying off in the past,car (new),3091.0,A61,... < 1 year,3.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",71.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.838
0 <= ... < 200 DM,37.0,critical account/ other credits existing (not at this bank),education,9508.0,A63,.. >= 7 years,4.0,female : divorced/separated/married,guarantor,4.0,unknown / no property,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.781
... < 0 DM,60.0,delay in paying off in the past,retraining,15945.0,A65,... < 1 year,3.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,3.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.858
no checking account,20.0,delay in paying off in the past,repairs,1370.0,A61,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,real estate,19.0,none,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.23
... < 0 DM,36.0,no credits taken/ all credits paid back duly,domestic appliances,5714.0,A62,unemployed,3.0,male : married/widowed,co-applicant,3.0,real estate,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.058
no checking account,55.0,existing credits paid back duly till now,car (used),10887.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,38.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.069
no checking account,25.0,existing credits paid back duly till now,business,3325.0,A61,... < 1 year,4.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,35.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.8
... < 0 DM,49.0,existing credits paid back duly till now,furniture/equipment,9049.0,A61,... < 1 year,4.0,male : single,none,3.0,unknown / no property,61.0,none,rent,3.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.697
... < 0 DM,11.0,critical account/ other credits existing (not at this bank),others,709.0,A64,4 <= ... < 7 years,1.0,male : single,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,own,1.0,unemployed/ unskilled - non-resident,1.0,none,no,0.182
no checking account,6.0,existing credits paid back duly till now,radio/television,745.0,A61,unemployed,2.0,female : divorced/separated/married,none,1.0,real estate,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.117
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,radio/television,14893.0,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,3.0,unknown / no property,46.0,none,rent,1.0,unskilled - resident,2.0,none,no,0.139
0 <= ... < 200 DM,4.0,delay in paying off in the past,car (new),276.0,A64,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.767
no checking account,6.0,existing credits paid back duly till now,furniture/equipment,276.0,A65,.. >= 7 years,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,35.0,none,for free,1.0,skilled employee / official,1.0,none,no,0.787
0 <= ... < 200 DM,23.0,critical account/ other credits existing (not at this bank),car (new),3709.0,A61,... < 1 year,3.0,female : divorced/separated/married,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,50.0,none,rent,2.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.782
... < 0 DM,60.0,critical account/ other credits existing (not at this bank),furniture/equipment,7632.0,A61,.. >= 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.8
no checking account,38.0,all credits at this bank paid back duly,furniture/equipment,15945.0,A65,.. >= 7 years,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,61.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.841
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,retraining,276.0,A65,... < 1 year,1.0,male : single,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,none,rent,3.0,unemployed/ unskilled - non-resident,1.0,none,no,0.842
... >= 200 DM / salary assignments for at least 1 year,4.0,all credits at this bank paid back duly,furniture/equipment,276.0,A61,4 <= ... < 7 years,3.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,22.0,none,for free,1.0,unskilled - resident,1.0,none,yes,0.701
... < 0 DM,21.0,existing credits paid back duly till now,car (new),276.0,A63,1 <= ... < 4 years,4.0,male : divorced/separated,guarantor,4.0,real estate,57.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.846
no checking account,36.0,delay in paying off in the past,furniture/equipment,7401.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,real estate,75.0,none,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.601
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,education,15945.0,A65,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,40.0,none,for free,4.0,unskilled - resident,1.0,none,yes,0.835
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,11956.0,A62,unemployed,4.0,male : single,none,4.0,real estate,43.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.068
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,car (used),1845.0,A62,1 <= ... < 4 years,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,unskilled - resident,1.0,none,yes,0.052
no checking account,60.0,existing credits paid back duly till now,car (used),12363.0,A61,unemployed,3.0,female : divorced/separated/married,co-applicant,4.0,unknown / no property,62.0,bank,rent,1.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.054
0 <= ... < 200 DM,4.0,critical account/ other credits existing (not at this bank),retraining,276.0,A65,... < 1 year,1.0,male : married/widowed,guarantor,1.0,"if not A121/A122 : car or other, not in attribute 6",19.0,stores,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.79
no checking account,4.0,all credits at this bank paid back duly,business,276.0,A61,.. >= 7 years,1.0,male : divorced/separated,co-applicant,2.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,2.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.737
... < 0 DM,4.0,existing credits paid back duly till now,repairs,276.0,A63,4 <= ... < 7 years,2.0,male : single,none,4.0,real estate,50.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.747
... < 0 DM,29.0,existing credits paid back duly till now,furniture/equipment,6734.0,A65,... < 1 year,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,59.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.844
0 <= ... < 200 DM,60.0,all credits at this bank paid back duly,education,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.806
... < 0 DM,33.0,existing credits paid back duly till now,repairs,2124.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.308
no checking account,54.0,critical account/ other credits existing (not at this bank),radio/television,7819.0,A62,unemployed,2.0,male : single,none,2.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.103
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),13372.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,unknown / no property,40.0,none,rent,1.0,skilled employee / official,2.0,none,yes,0.207
... < 0 DM,54.0,existing credits paid back duly till now,radio/television,9173.0,A65,unemployed,4.0,male : married/widowed,none,4.0,real estate,45.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.083
no checking account,36.0,critical account/ other credits existing (not at this bank),furniture/equipment,10974.0,A61,unemployed,4.0,male : married/widowed,co-applicant,1.0,unknown / no property,26.0,none,own,2.0,unskilled - resident,2.0,"yes, registered under the customers name",yes,0.098
... >= 200 DM / salary assignments for at least 1 year,4.0,no credits taken/ all credits paid back duly,business,6198.0,A64,unemployed,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,stores,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.059
no checking account,4.0,all credits at this bank paid back duly,radio/television,276.0,A61,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,3.0,real estate,19.0,bank,own,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.104
... < 0 DM,43.0,all credits at this bank paid back duly,radio/television,276.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,55.0,bank,own,1.0,unskilled - resident,1.0,none,yes,0.151
0 <= ... < 200 DM,60.0,delay in paying off in the past,radio/television,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,bank,own,4.0,skilled employee / official,2.0,none,yes,0.405
... < 0 DM,18.0,critical account/ other credits existing (not at this bank),car (used),15945.0,A62,1 <= ... < 4 years,4.0,female : divorced/separated/married,guarantor,4.0,real estate,27.0,bank,own,3.0,unskilled - resident,2.0,none,no,0.088
no checking account,4.0,delay in paying off in the past,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,stores,own,1.0,unskilled - resident,2.0,none,yes,0.038
... >= 200 DM / salary assignments for at least 1 year,4.0,existing credits paid back duly till now,business,276.0,A61,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,3.0,real estate,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.103
0 <= ... < 200 DM,23.0,no credits taken/ all credits paid back duly,car (used),6093.0,A61,4 <= ... < 7 years,3.0,female : divorced/separated/married,guarantor,4.0,real estate,19.0,stores,own,1.0,skilled employee / official,2.0,none,yes,0.105
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,furniture/equipment,15945.0,A62,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown / no property,39.0,none,own,1.0,skilled employee / official,2.0,none,yes,0.211
... < 0 DM,38.0,critical account/ other credits existing (not at this bank),furniture/equipment,9916.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,real estate,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",no,0.117
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (new),276.0,A65,... < 1 year,1.0,female : divorced/separated/married,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.751
no checking account,5.0,all credits at this bank paid back duly,furniture/equipment,276.0,A64,.. >= 7 years,4.0,male : divorced/separated,none,2.0,if not A121 : building society savings agreement/ life insurance,26.0,none,for free,1.0,skilled employee / official,1.0,none,yes,0.805
0 <= ... < 200 DM,24.0,critical account/ other credits existing (not at this bank),education,1458.0,A65,1 <= ... < 4 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,46.0,none,rent,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.835
no checking account,46.0,critical account/ other credits existing (not at this bank),repairs,6717.0,A61,1 <= ... < 4 years,4.0,male : divorced/separated,none,4.0,"if not A121/A122 : car or other, not in attribute 6",67.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.722
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,education,15945.0,A63,... < 1 year,4.0,male : divorced/separated,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.814
... >= 200 DM / salary assignments for at least 1 year,10.0,delay in paying off in the past,radio/television,276.0,A62,.. >= 7 years,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.023
0 <= ... < 200 DM,29.0,no credits taken/ all credits paid back duly,others,10016.0,A61,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.074
0 <= ... < 200 DM,60.0,no credits taken/ all credits paid back duly,others,15945.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,3.0,if not A121 : building society savings agreement/ life insurance,43.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.086
... >= 200 DM / salary assignments for at least 1 year,60.0,critical account/ other credits existing (not at this bank),business,15945.0,A62,.. >= 7 years,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,75.0,stores,rent,4.0,unemployed/ unskilled - non-resident,2.0,"yes, registered under the customers name",no,0.054
... < 0 DM,60.0,no credits taken/ all credits paid back duly,others,15945.0,A63,4 <= ... < 7 years,3.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",70.0,bank,for free,2.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.252
... < 0 DM,30.0,existing credits paid back duly till now,car (used),6549.0,A62,1 <= ... < 4 years,3.0,female : divorced/separated/married,co-applicant,2.0,unknown / no property,19.0,bank,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.043
... < 0 DM,4.0,existing credits paid back duly till now,radio/television,276.0,A62,unemployed,1.0,male : married/widowed,co-applicant,1.0,unknown / no property,19.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.034
... >= 200 DM / salary assignments for at least 1 year,32.0,all credits at this bank paid back duly,radio/television,276.0,A63,1 <= ... < 4 years,3.0,male : single,none,3.0,unknown / no property,19.0,bank,own,1.0,skilled employee / official,2.0,none,yes,0.093
... < 0 DM,50.0,no credits taken/ all credits paid back duly,business,3584.0,A61,unemployed,4.0,male : single,none,4.0,real estate,19.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,0.278
... < 0 DM,60.0,existing credits paid back duly till now,car (used),9691.0,A61,1 <= ... < 4 years,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,40.0,none,for free,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.242
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,radio/television,15945.0,A62,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.018
... < 0 DM,4.0,all credits at this bank paid back duly,furniture/equipment,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.744
no checking account,4.0,delay in paying off in the past,retraining,276.0,A63,unemployed,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,22.0,none,for free,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.682
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,car (new),276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",73.0,none,rent,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.88
no checking account,31.0,existing credits paid back duly till now,retraining,7979.0,A65,unemployed,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,0.742
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,48.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.847
no checking account,37.0,all credits at this bank paid back duly,car (used),5873.0,A63,.. >= 7 years,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.274
0 <= ... < 200 DM,56.0,no credits taken/ all credits paid back duly,radio/television,10663.0,A63,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,3.0,real estate,45.0,stores,own,4.0,unskilled - resident,1.0,none,yes,0.191
... < 0 DM,4.0,delay in paying off in the past,retraining,276.0,A63,... < 1 year,1.0,male : divorced/separated,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,3.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.879
0 <= ... < 200 DM,4.0,existing credits paid back duly till now,education,276.0,A65,.. >= 7 years,4.0,male : single,none,1.0,if not A121 : building society savings agreement/ life insurance,30.0,none,rent,1.0,skilled employee / official,1.0,none,yes,0.814
0 <= ... < 200 DM,19.0,delay in paying off in the past,business,276.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.834
no checking account,41.0,delay in paying off in the past,business,8230.0,A63,.. >= 7 years,4.0,male : single,none,2.0,if not A121 : building society savings agreement/ life insurance,49.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.75
0 <= ... < 200 DM,60.0,delay in paying off in the past,retraining,15945.0,A65,4 <= ... < 7 years,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,3.0,skilled employee / official,1.0,none,yes,0.835
0 <= ... < 200 DM,4.0,all credits at this bank paid back duly,car (new),276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,skilled employee / official,1.0,none,yes,0.838
no checking account,4.0,existing credits paid back duly till now,education,276.0,A61,4 <= ... < 7 years,4.0,male : single,guarantor,2.0,unknown / no property,27.0,none,for free,2.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.663
0 <= ... < 200 DM,24.0,delay in paying off in the past,retraining,276.0,A65,.. >= 7 years,4.0,male : divorced/separated,none,3.0,if not A121 : building society savings agreement/ life insurance,54.0,stores,rent,3.0,skilled employee / official,1.0,"yes, registered under the customers name",no,0.753
no checking account,40.0,all credits at this bank paid back duly,car (new),6957.0,A61,1 <= ... < 4 years,4.0,male : single,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,for free,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.782
... < 0 DM,60.0,existing credits paid back duly till now,retraining,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,58.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.807
no checking account,20.0,delay in paying off in the past,business,1541.0,A62,.. >= 7 years,3.0,female : divorced/separated/married,none,3.0,"if not A121/A122 : car or other, not in attribute 6",19.0,bank,rent,1.0,unskilled - resident,2.0,"yes, registered under the customers name",no,0.166
0 <= ... < 200 DM,37.0,no credits taken/ all credits paid back duly,radio/television,6612.0,A62,unemployed,4.0,female : divorced/separated/married,none,4.0,real estate,19.0,none,own,1.0,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,0.075
... < 0 DM,33.0,existing credits paid back duly till now,repairs,2125.0,A61,1 <= ... < 4 years,1.0,female : divorced/separated/married,guarantor,1.0,real estate,19.0,none,own,1.0,unemployed/ unskilled - non-resident,1.0,none,yes,0.308
no checking account,54.0,critical account/ other credits existing (not at this bank),radio/television,7811.0,A62,unemployed,2.0,male : single,none,2.0,real estate,19.0,none,own,1.0,skilled employee / official,1.0,none,no,0.103
0 <= ... < 200 DM,32.0,existing credits paid back duly till now,retraining,7639.0,A61,1 <= ... < 4 years,3.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,59.0,none,for free,3.0,skilled employee / official,1.0,none,yes,0.807
... < 0 DM,32.0,all credits at this bank paid back duly,others,5584.0,A64,.. >= 7 years,1.0,male : single,guarantor,1.0,unknown / no property,21.0,bank,for free,1.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",no,0.182
0 <= ... < 200 DM,4.0,critical account/ other credits existing (not at this bank),retraining,276.0,A63,... < 1 year,1.0,male : single,guarantor,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,rent,4.0,unskilled - resident,1.0,"yes, registered under the customers name",no,0.841
... < 0 DM,4.0,all credits at this bank paid back duly,business,276.0,A65,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,unknown / no property,75.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.788
0 <= ... < 200 DM,23.0,existing credits paid back duly till now,furniture/equipment,4793.0,A63,... < 1 year,3.0,male : single,guarantor,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,stores,for free,4.0,unemployed/ unskilled - non-resident,1.0,"yes, registered under the customers name",yes,0.795
0 <= ... < 200 DM,43.0,critical account/ other credits existing (not at this bank),retraining,10463.0,A61,... < 1 year,4.0,male : single,none,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.844
... < 0 DM,60.0,all credits at this bank paid back duly,furniture/equipment,15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,4.0,if not A121 : building society savings agreement/ life insurance,75.0,none,for free,4.0,unskilled - resident,1.0,"yes, registered under the customers name",yes,0.845
... >= 200 DM / salary assignments for at least 1 year,29.0,delay in paying off in the past,business,276.0,A61,.. >= 7 years,3.0,male : single,guarantor,3.0,real estate,19.0,none,own,1.0,unskilled - resident,1.0,none,no,0.258
0 <= ... < 200 DM,49.0,existing credits paid back duly till now,radio/television,3763.0,A62,unemployed,4.0,male : single,none,4.0,real estate,25.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.027
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (used),11052.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,unknown / no property,44.0,none,own,2.0,skilled employee / official,2.0,none,yes,0.156
... < 0 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A61,.. >= 7 years,4.0,male : single,co-applicant,4.0,real estate,75.0,stores,own,4.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.032
... < 0 DM,29.0,existing credits paid back duly till now,furniture/equipment,6745.0,A65,... < 1 year,3.0,female : divorced/separated/married,none,4.0,if not A121 : building society savings agreement/ life insurance,59.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.844
... >= 200 DM / salary assignments for at least 1 year,13.0,existing credits paid back duly till now,repairs,460.0,A64,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,26.0,bank,for free,1.0,unskilled - resident,2.0,none,no,0.179
no checking account,60.0,critical account/ other credits existing (not at this bank),domestic appliances,13735.0,A62,unemployed,1.0,male : single,none,1.0,real estate,19.0,none,rent,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,yes,0.067
... < 0 DM,34.0,all credits at this bank paid back duly,car (used),6344.0,A61,4 <= ... < 7 years,4.0,male : married/widowed,co-applicant,4.0,unknown / no property,53.0,bank,for free,2.0,unskilled - resident,2.0,none,yes,0.132
0 <= ... < 200 DM,4.0,delay in paying off in the past,retraining,276.0,A65,... < 1 year,1.0,male : divorced/separated,none,1.0,if not A121 : building society savings agreement/ life insurance,19.0,none,for free,4.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.856
... < 0 DM,4.0,all credits at this bank paid back duly,education,276.0,A65,... < 1 year,4.0,male : single,guarantor,2.0,real estate,28.0,none,rent,2.0,unemployed/ unskilled - non-resident,1.0,none,no,0.838
0 <= ... < 200 DM,14.0,delay in paying off in the past,car (new),1974.0,A63,1 <= ... < 4 years,4.0,male : single,none,3.0,"if not A121/A122 : car or other, not in attribute 6",56.0,none,own,2.0,unskilled - resident,1.0,none,yes,0.696
... < 0 DM,33.0,existing credits paid back duly till now,furniture/equipment,8001.0,A65,... < 1 year,4.0,male : single,none,4.0,real estate,75.0,none,for free,3.0,skilled employee / official,1.0,"yes, registered under the customers name",yes,0.843
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,car (new),15945.0,A65,... < 1 year,4.0,male : divorced/separated,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,50.0,none,rent,4.0,unemployed/ unskilled - non-resident,1.0,none,no,0.825
... < 0 DM,41.0,delay in paying off in the past,radio/television,5783.0,A61,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,65.0,stores,own,1.0,skilled employee / official,1.0,none,yes,0.233
... >= 200 DM / salary assignments for at least 1 year,46.0,existing credits paid back duly till now,repairs,11669.0,A62,... < 1 year,4.0,female : divorced/separated/married,none,4.0,"if not A121/A122 : car or other, not in attribute 6",75.0,none,own,4.0,skilled employee / official,2.0,none,yes,0.297
0 <= ... < 200 DM,4.0,no credits taken/ all credits paid back duly,car (used),276.0,A65,1 <= ... < 4 years,1.0,male : single,co-applicant,1.0,unknown / no property,19.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.021
... >= 200 DM / salary assignments for at least 1 year,16.0,delay in paying off in the past,domestic appliances,7416.0,A64,1 <= ... < 4 years,1.0,male : single,none,2.0,unknown / no property,19.0,bank,for free,1.0,skilled employee / official,1.0,none,no,0.23
no checking account,36.0,critical account/ other credits existing (not at this bank),car (used),12389.0,A62,unemployed,1.0,male : single,co-applicant,3.0,unknown / no property,28.0,bank,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,0.012
0 <= ... < 200 DM,60.0,existing credits paid back duly till now,radio/television,15945.0,A65,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,unknown / no property,47.0,bank,for free,1.0,skilled employee / official,2.0,"yes, registered under the customers name",yes,0.146
... >= 200 DM / salary assignments for at least 1 year,60.0,existing credits paid back duly till now,car (used),15945.0,A62,1 <= ... < 4 years,4.0,male : single,guarantor,4.0,real estate,75.0,stores,own,1.0,management/ self-employed/ highly qualified employee/ officer,2.0,none,no,0.023
... >= 200 DM / salary assignments for at least 1 year,13.0,existing credits paid back duly till now,repairs,465.0,A64,.. >= 7 years,4.0,male : single,none,4.0,unknown / no property,26.0,bank,for free,1.0,unskilled - resident,2.0,none,no,0.178
